alpha3Code,gender,population,age
AFG,Female,552982,0
ALB,Female,15211,0
DZA,Female,391246,0
AGO,Female,598410,0
ATG,Female,813,0
ARG,Female,361782,0
ARM,Female,16366,0
ABW,Female,600,0
AUS,Female,161770,0
AUT,Female,42207,0
AZE,Female,67935,0
BHS,Female,2671,0
BHR,Female,10666,0
BGD,Female,1458389,0
BRB,Female,1616,0
BLR,Female,50909,0
BEL,Female,64419,0
BLZ,Female,4192,0
BEN,Female,193737,0
BTN,Female,7039,0
BOL,Female,121577,0
BIH,Female,15705,0
BWA,Female,24666,0
BRA,Female,1371984,0
VIR,Female,629,0
BRN,Female,3120,0
BGR,Female,31716,0
BFA,Female,351847,0
BDI,Female,216943,0
KHM,Female,173024,0
CMR,Female,407382,0
CAN,Female,192916,0
CPV,Female,5561,0
CAF,Female,75108,0
TCD,Female,299215,0
CHL,Female,115913,0
CHN,Female,7240725,0
COL,Female,349979,0
COM,Female,12285,0
COG,Female,85042,0
COD,Female,1619233,0
CRI,Female,33132,0
HRV,Female,17606,0
CUB,Female,55647,0
CYP,Female,6029,0
CZE,Female,52488,0
DNK,Female,31682,0
DJI,Female,10144,0
DOM,Female,100898,0
ECU,Female,157876,0
EGY,Female,1083039,0
SLV,Female,56835,0
GNQ,Female,20467,0
ERI,Female,76523,0
EST,Female,6938,0
ETH,Female,1575211,0
FJI,Female,8066,0
FIN,Female,30222,0
FRA,Female,369215,0
GUF,Female,3282,0
PYF,Female,2031,0
GAB,Female,27420,0
GMB,Female,39601,0
GEO,Female,21967,0
DEU,Female,357505,0
GHA,Female,409597,0
GRC,Female,41826,0
GRD,Female,924,0
GLP,Female,2225,0
GUM,Female,1332,0
GTM,Female,204633,0
GIN,Female,217548,0
GNB,Female,31122,0
GUY,Female,7373,0
HTI,Female,122802,0
HND,Female,97667,0
HKG,Female,37630,0
HUN,Female,43058,0
ISL,Female,2125,0
IND,Female,11816546,0
IDN,Female,2270121,0
CIV,Female,427806,0
IRN,Female,570185,0
IRQ,Female,598885,0
IRL,Female,30031,0
ISR,Female,76829,0
ITA,Female,236192,0
JAM,Female,24642,0
JPN,Female,491997,0
JOR,Female,118123,0
KAZ,Female,156465,0
KEN,Female,754346,0
KIR,Female,1528,0
KWT,Female,31807,0
KGZ,Female,62746,0
LAO,Female,75131,0
LVA,Female,9246,0
LBN,Female,43552,0
LSO,Female,28678,0
LBR,Female,77083,0
LBY,Female,54766,0
LTU,Female,14150,0
LUX,Female,3483,0
MAC,Female,3871,0
MKD,Female,11158,0
MDG,Female,419741,0
MWI,Female,332957,0
MYS,Female,266212,0
MDV,Female,3453,0
MLI,Female,367933,0
MLT,Female,2055,0
MTQ,Female,2391,0
MRT,Female,69668,0
MUS,Female,6715,0
MYT,Female,3595,0
MEX,Female,1085780,0
FSM,Female,1223,0
MDA,Female,17913,0
MNG,Female,29759,0
MNE,Female,3356,0
MAR,Female,314177,0
MOZ,Female,545832,0
MMR,Female,458004,0
NAM,Female,34384,0
NPL,Female,285423,0
NLD,Female,90132,0
NCL,Female,2072,0
NZL,Female,30483,0
NIC,Female,56562,0
NER,Female,497746,0
NGA,Female,3404463,0
PRK,Female,171331,0
NOR,Female,32588,0
OMN,Female,37746,0
PAK,Female,2427140,0
PSE,Female,75729,0
PAN,Female,37470,0
PNG,Female,106002,0
PRY,Female,68382,0
PER,Female,286668,0
PHL,Female,1156645,0
POL,Female,161348,0
PRT,Female,36353,0
PRI,Female,19221,0
QAT,Female,12963,0
REU,Female,6282,0
ROU,Female,91037,0
